# frames,mean_ms,median_ms,p95_ms,max_ms,min_ms
# 600,0.1220,0.0560,0.2353,8.4309,0.0338
frame,cpu_ms
0,0.0784
1,0.0942
2,0.1607
3,0.1196
4,0.3343
5,0.2484
6,0.1666
7,0.2486
8,0.2791
9,0.2468
10,0.2802
11,0.2919
12,0.1769
13,0.2705
14,0.2098
15,0.2189
16,0.2312
17,0.2913
18,0.2168
19,0.2248
20,0.2094
21,0.2761
22,0.1738
23,0.2804
24,0.2721
25,0.2235
26,0.2802
27,0.2165
28,0.1779
29,0.2116
30,0.2390
31,0.1770
32,0.2163
33,0.2584
34,0.2572
35,0.3099
36,0.0673
37,0.0890
38,0.0564
39,0.0629
40,0.0695
41,0.0595
42,0.0656
43,0.0682
44,0.0581
45,0.1018
46,0.1073
47,0.0887
48,0.0765
49,0.0639
50,0.0699
51,0.0732
52,0.2345
53,0.2998
54,0.2532
55,0.2008
56,0.2269
57,0.2353
58,0.3212
59,0.2494
60,0.0795
61,0.1145
62,0.1074
63,0.0726
64,0.1964
65,0.1986
66,0.0877
67,0.1021
68,0.0629
69,0.0734
70,1.9304
71,0.0794
72,0.1181
73,0.1149
74,0.1031
75,0.0910
76,0.0846
77,0.1057
78,0.1215
79,0.0807
80,0.1327
81,0.1128
82,0.1081
83,0.0722
84,0.0670
85,0.0593
86,0.0456
87,0.0614
88,0.0597
89,0.0535
90,0.0581
91,0.0605
92,0.0503
93,0.0632
94,0.0555
95,0.0537
96,0.1154
97,0.1159
98,0.0559
99,0.0775
100,0.0559
101,0.0533
102,0.0633
103,0.1008
104,0.1019
105,0.0879
106,0.1003
107,0.1118
108,7.3867
109,0.5229
110,0.0500
111,0.0970
112,0.0497
113,0.1017
114,0.1066
115,0.0899
116,0.1063
117,0.1437
118,0.0582
119,0.0545
120,0.1497
121,0.0620
122,0.0501
123,0.0521
124,0.0435
125,0.0397
126,0.0463
127,0.0941
128,0.0495
129,0.0505
130,0.0424
131,0.0393
132,0.0531
133,0.0423
134,0.0410
135,0.1317
136,0.1418
137,0.1221
138,0.0957
139,0.0860
140,0.0565
141,0.0567
142,0.0542
143,0.1433
144,0.0952
145,0.0448
146,0.0376
147,0.0419
148,0.0418
149,0.0380
150,0.0573
151,0.0932
152,0.0442
153,0.0403
154,0.0405
155,0.0492
156,0.0526
157,0.0415
158,0.0507
159,0.0501
160,0.0371
161,0.0357
162,0.0592
163,0.0421
164,0.0357
165,0.0440
166,0.0397
167,0.0409
168,0.0481
169,0.0500
170,0.0463
171,0.0338
172,0.0364
173,0.0489
174,0.0442
175,0.0452
176,0.0402
177,0.0351
178,0.0410
179,0.0339
180,0.0718
181,0.0416
182,0.0431
183,0.0456
184,0.0737
185,0.0438
186,0.0663
187,0.0616
188,0.0539
189,0.0453
190,8.4309
191,0.0504
192,0.0595
193,0.0500
194,0.0536
195,0.1015
196,0.0918
197,0.0931
198,0.0540
199,0.0606
200,0.0376
201,0.0823
202,0.1349
203,0.1265
204,0.1368
205,0.0434
206,0.0439
207,0.0372
208,0.0394
209,0.0406
210,0.1674
211,0.1061
212,0.0648
213,0.0396
214,0.0359
215,0.0386
216,0.0429
217,0.0578
218,0.0709
219,0.0547
220,0.0362
221,0.0343
222,0.0425
223,0.0388
224,0.0352
225,0.0582
226,0.0375
227,0.0941
228,0.0574
229,0.0363
230,0.0671
231,0.0433
232,0.0747
233,0.0904
234,0.1038
235,0.0995
236,0.0471
237,0.0412
238,0.0371
239,0.0371
240,0.0758
241,0.0643
242,0.0636
243,0.0499
244,0.0382
245,0.0380
246,0.0500
247,0.0442
248,0.0380
249,0.0576
250,0.0382
251,0.0438
252,0.0512
253,0.0465
254,0.0449
255,0.0459
256,0.0429
257,0.0584
258,0.0513
259,0.1251
260,0.0975
261,0.0767
262,0.1680
263,0.0997
264,0.0897
265,0.0428
266,0.0386
267,0.0363
268,0.0509
269,0.0862
270,0.0914
271,0.0583
272,0.0880
273,0.0546
274,0.0571
275,0.0529
276,0.0761
277,0.0425
278,0.0555
279,0.0508
280,0.0433
281,0.0739
282,0.0914
283,0.0524
284,0.0474
285,0.0571
286,0.0412
287,0.0601
288,0.0560
289,0.0587
290,0.0935
291,0.0881
292,0.0566
293,0.0394
294,0.0539
295,0.0902
296,0.0532
297,0.0421
298,0.0683
299,0.0892
300,0.0935
301,0.0645
302,0.0470
303,0.0572
304,0.0512
305,0.0988
306,0.0954
307,0.0445
308,0.0503
309,0.0597
310,8.0586
311,0.0546
312,0.0513
313,0.0409
314,0.0653
315,0.0530
316,0.0721
317,0.0582
318,0.1148
319,0.1122
320,0.0462
321,0.0427
322,0.0587
323,0.0524
324,0.0562
325,0.0657
326,0.0437
327,0.0379
328,0.0387
329,0.0402
330,0.0592
331,0.0375
332,0.0884
333,0.0510
334,0.1089
335,0.1070
336,0.0766
337,0.0877
338,0.0707
339,0.0869
340,0.0878
341,0.0949
342,0.0922
343,0.0835
344,0.0836
345,0.1039
346,0.1076
347,0.0832
348,0.0930
349,0.0663
350,0.0732
351,0.0507
352,0.0588
353,0.0414
354,0.0901
355,0.0448
356,0.0401
357,0.0560
358,0.0370
359,0.0371
360,0.0507
361,0.0994
362,0.0454
363,0.0376
