# frames,mean_ms,median_ms,p95_ms,max_ms,min_ms
# 600,0.2395,0.1634,0.3534,9.3779,0.0448
frame,cpu_ms
0,0.2329
1,0.2538
2,0.1890
3,0.1902
4,0.5802
5,0.2593
6,0.2779
7,0.3082
8,0.2804
9,0.2742
10,0.2511
11,0.3078
12,0.1649
13,0.3864
14,0.4652
15,0.2143
16,0.3294
17,0.2802
18,0.3595
19,0.2461
20,0.1958
21,0.2050
22,0.3606
23,0.2311
24,0.2215
25,0.2370
26,0.2415
27,0.2844
28,0.2027
29,0.2441
30,0.2266
31,0.2586
32,0.1775
33,0.2612
34,0.2140
35,0.1683
36,0.3265
37,0.2316
38,0.1536
39,0.1995
40,0.2809
41,0.1885
42,0.1499
43,0.2542
44,0.1520
45,0.3439
46,0.1902
47,0.2681
48,0.1391
49,0.2120
50,0.1549
51,0.1805
52,0.2149
53,0.2269
54,0.3169
55,0.1777
56,0.1679
57,0.2888
58,0.3505
59,0.1731
60,0.2534
61,0.1801
62,0.1411
63,0.1905
64,0.1559
65,0.2255
66,0.2175
67,0.2725
68,0.2071
69,0.1834
70,0.1339
71,8.7891
72,0.2239
73,0.2397
74,0.2607
75,0.3384
76,0.1932
77,0.3024
78,0.1798
79,0.4027
80,0.3106
81,0.3897
82,0.2682
83,0.1812
84,0.2004
85,0.1869
86,0.3326
87,0.2409
88,0.2826
89,0.2161
90,0.3972
91,0.2512
92,0.2482
93,0.2223
94,0.2175
95,0.3917
96,0.3359
97,0.2221
98,0.1979
99,0.2390
100,0.3793
101,0.1993
102,0.2768
103,0.2177
104,0.2464
105,0.2274
106,0.1994
107,0.2843
108,0.7607
109,0.2981
110,0.2663
111,0.2325
112,0.5221
113,0.2163
114,0.1833
115,0.4877
116,0.5283
117,0.1485
118,0.1366
119,0.1847
120,0.2134
121,0.2115
122,0.3534
123,0.2981
124,0.3775
125,0.1710
126,0.1472
127,0.1758
128,0.1515
129,0.1911
130,0.2329
131,0.1950
132,0.3501
133,0.2881
134,0.2350
135,0.4350
136,0.1718
137,0.1944
138,0.1927
139,0.2374
140,0.3151
141,0.1698
142,0.3708
143,0.1973
144,0.1936
145,0.2689
146,0.2491
147,0.2858
148,0.3144
149,0.2347
150,0.1926
151,0.2782
152,0.2286
153,0.1962
154,0.2006
155,0.1743
156,0.2523
157,0.3631
158,0.2548
159,0.2871
160,0.2180
161,0.1920
162,0.3015
163,0.2100
164,0.1974
165,0.1746
166,0.2486
167,0.1798
168,0.2191
169,0.3008
170,0.2350
171,0.1353
172,0.2487
173,0.1919
174,0.1794
175,0.2242
176,0.3616
177,0.1976
178,0.1438
179,0.2729
180,0.1889
181,0.4744
182,0.1951
183,0.1773
184,0.2585
185,0.2557
186,0.2307
187,0.2555
188,0.2435
189,0.2495
190,0.1670
191,9.2888
192,0.2545
193,0.2244
194,0.2706
195,0.1952
196,0.2245
197,0.2336
198,0.1560
199,0.1512
200,0.2765
201,0.2514
202,0.2845
203,0.2464
204,0.2104
205,0.2689
206,0.2424
207,0.2629
208,0.4464
209,0.3309
210,0.1981
211,0.2310
212,0.3040
213,0.2165
214,0.2696
215,0.1875
216,0.2542
217,0.2177
218,0.2914
219,0.1827
220,0.2715
221,0.2870
222,0.3041
223,0.2664
224,0.2438
225,0.3551
226,0.2375
227,0.2118
228,0.1830
229,0.2436
230,0.2428
231,0.2344
232,0.2378
233,0.2721
234,0.2525
235,0.3206
236,0.2079
237,0.2141
238,0.1785
239,0.2927
240,0.2666
241,0.2328
242,0.2497
243,0.2164
244,0.2451
245,0.1976
246,0.1767
247,0.1654
248,0.3939
249,0.2454
250,0.2454
251,0.2358
252,0.2459
253,0.2114
254,0.3521
255,0.3330
256,0.2471
257,0.2698
258,0.2528
259,0.1771
260,0.2443
261,0.2191
262,0.2179
263,0.1916
264,0.3363
265,0.2676
266,0.3007
267,0.3200
268,0.1944
269,0.2038
270,0.2276
271,0.1956
272,0.2010
273,0.3156
274,0.2139
275,0.2155
276,0.2092
277,0.1755
278,0.2504
279,0.2413
280,0.2034
281,0.1888
282,0.1613
283,0.1940
284,0.2198
285,0.2297
286,0.2252
287,0.2557
288,0.3317
289,0.2065
290,0.2002
291,0.1955
292,0.2939
293,0.2143
294,0.3808
295,0.2157
296,0.1551
297,0.1636
298,0.2457
299,0.2119
300,0.3115
301,0.2198
302,0.2018
303,0.2180
304,0.2853
305,0.2636
306,0.2172
307,0.2603
308,0.2227
309,0.2353
310,0.1440
311,9.0716
312,0.0722
313,0.0558
314,0.0508
315,0.0702
316,0.0981
317,0.1427
318,0.1238
319,0.0595
320,0.0576
321,0.0548
322,0.0585
323,0.0489
324,0.0666
325,0.0483
326,0.0618
327,0.0556
328,0.0515
329,0.0576
330,0.0827
331,0.0564
332,0.0504
333,0.0546
334,0.0506
335,0.0609
336,0.1091
337,0.1171
338,0.0544
339,0.0714
340,0.0623
341,0.0527
342,0.0630
343,0.0493
344,0.0467
345,0.0633
346,0.0661
347,0.0569
348,0.1852
349,0.1072
350,0.0550
351,0.0616
352,0.0513
353,0.0558
354,0.0626
355,0.0564
356,0.0543
357,0.0488
358,0.0547
359,0.0502
360,0.0669
361,0.0533
362,0.0494
363,0.0542
364,0.0585
365,0.0522
366,0.0567
367,0.0603
368,0.0624
369,0.1157
370,0.1124
371,0.0563
372,0.0623
373,0.0563
374,0.0592
375,0.0458
376,0.0513
377,0.0618
378,0.0591
379,0.0688
380,0.0545
381,0.0553
382,0.0542
383,0.0503
384,0.0596
385,0.0565
386,0.0599
387,0.0515
388,0.0577
389,0.0649
390,0.1175
391,0.0795
392,0.0768
393,0.0548
394,0.0598
395,0.0587
396,0.0940
397,0.0599
398,0.0988
399,0.0702
400,0.0603
401,0.1005
402,0.1210
403,0.0721
404,0.0607
405,0.0648
406,0.0549
407,0.0521
408,0.0620
409,0.0473
410,0.0612
411,0.0544
412,0.0519
413,0.0545
414,0.0593
415,0.0474
416,0.0560
417,0.0531
418,0.0504
419,0.0499
420,0.0614
421,0.0549
422,0.0571
423,0.0627
424,0.0532
425,0.0527
426,0.0573
427,0.0529
428,0.0563
429,0.1154
430,0.1012
431,8.9581
432,0.0850
433,0.0781
434,0.1055
435,0.1269
436,0.0645
437,0.1196
438,0.0942
439,0.0671
440,0.0594
441,0.1140
442,0.1576
443,0.0805
444,0.1579
445,0.0906
446,0.1227
447,0.1128
448,0.0897
449,0.1061
450,0.0851
451,0.0811
452,0.0880
453,0.0586
454,0.0797
455,0.0574
456,0.0762
457,0.1013
458,0.0554
459,0.1634
460,0.0606
461,0.0557
462,0.0680
463,0.0505
464,0.0470
465,0.0548
466,0.0513
467,0.0674
468,0.0623
469,0.0485
470,0.0460
471,0.0580
472,0.0487
473,0.0456
474,0.0562
475,0.0570
476,0.0448
477,0.0493
478,0.0462
479,0.0477
480,0.0753
481,0.0475
482,0.0452
483,0.0464
484,0.0479
485,0.0588
486,0.1872
487,0.1181
488,0.0711
489,0.0657
490,0.0537
491,0.0519
492,0.0705
493,0.0494
494,0.0537
495,0.0638
496,0.0505
497,0.0530
498,0.1236
499,0.0645
500,0.1092
501,0.0871
502,0.1224
503,0.0806
504,0.0835
505,0.0937
506,0.0757
507,0.0814
508,0.0659
509,0.0595
510,0.0739
511,0.0570
512,0.0580
513,0.1116
514,0.0755
515,0.1483
516,0.1197
517,0.1018
518,0.0610
519,0.1014
520,0.1200
521,0.0990
522,0.1147
523,0.1035
524,0.0666
525,0.0904
526,0.1164
527,0.0610
528,0.0675
529,0.0671
530,0.0631
531,0.0527
532,0.0597
533,0.0843
534,0.1138
535,0.0675
536,0.0720
537,0.0538
538,0.0703
539,0.1219
540,0.0823
541,0.0672
542,0.1037
543,0.0742
544,0.0537
545,0.0483
546,0.0666
547,0.0592
548,0.0655
549,0.1228
550,0.0598
551,9.3779
552,0.0798
553,0.0570
554,0.0862
555,0.0718
556,0.0749
557,0.0965
558,0.1063
559,0.0785
560,0.0845
561,0.0566
562,0.0767
563,0.1200
564,0.2178
565,0.0918
566,0.1144
567,0.1048
568,0.1075
569,0.0790
570,0.1820
571,0.1396
572,0.1462
573,0.1435
574,0.1133
575,0.0974
576,0.1485
577,0.0979
578,0.0942
579,0.0852
580,0.0636
581,0.0837
582,0.0688
583,0.1013
584,0.1264
585,0.1058
586,0.0804
587,0.0657
588,0.1265
589,0.0809
590,0.1092
591,0.1044
592,0.0817
593,0.0775
594,0.1298
595,0.0783
596,0.0649
597,0.0773
598,0.0998
599,0.1081
